IDS_TEXTCLIENT_INC_000001	Navigator
IDS_TEXTCLIENT_INC_000167	Cannot recover HP right now.
IDS_TEXTCLIENT_INC_000168	Cannot recover your MP right now.
IDS_TEXTCLIENT_INC_000169	Not enough FP.
IDS_TEXTCLIENT_INC_000170	Not enough MP.
IDS_TEXTCLIENT_INC_000171	You need more STR to use %s.
IDS_TEXTCLIENT_INC_000172	You need more STA to use %s.
IDS_TEXTCLIENT_INC_000173	You need more DEX to use %s.
IDS_TEXTCLIENT_INC_000174	You need more INT to use %s.
IDS_TEXTCLIENT_INC_000175	You cannot equip the %s.  Requirements not met.
IDS_TEXTCLIENT_INC_000176	%s is not for your gender.
IDS_TEXTCLIENT_INC_000177	You dropped %s.
IDS_TEXTCLIENT_INC_000178	This item belongs to someone else.
IDS_TEXTCLIENT_INC_000179	You do not have enough Penya.
IDS_TEXTCLIENT_INC_000180	Inventory is full. Please make room and try again.
IDS_TEXTCLIENT_INC_000181	Please unequip the item before selling it.
IDS_TEXTCLIENT_INC_000182	You received %s.
IDS_TEXTCLIENT_INC_000183	You have chosen the Lodelight as your re-spawn point.
IDS_TEXTCLIENT_INC_000184	You cannot drop items while flying.
IDS_TEXTCLIENT_INC_000185	You received %s Penya (Total: %s Penya).
IDS_TEXTCLIENT_INC_000186	You need to equip the correct weapon or item to use that skill.
IDS_TEXTCLIENT_INC_000187	You cannot drop more than 30,000 Penya. Please use the trade function.
IDS_TEXTCLIENT_INC_000188	Vagrants cannot use %s.
IDS_TEXTCLIENT_INC_000189	You cannot trade with another player while vending.
IDS_TEXTCLIENT_INC_000190	You cannot drop items while trading.
IDS_TEXTCLIENT_INC_000191	You cannot use items while trading.
IDS_TEXTCLIENT_INC_000192	You cannot trade with a player and an NPC at the same time.
IDS_TEXTCLIENT_INC_000193	You cannot trade with a player and an NPC at the same time.
IDS_TEXTCLIENT_INC_000194	Only the party leader can use this function.
IDS_TEXTCLIENT_INC_000195	%s has created a party.
IDS_TEXTCLIENT_INC_000196	%s has left the party.
IDS_TEXTCLIENT_INC_000197	%s has been removed from the party.
IDS_TEXTCLIENT_INC_000198	You are not a party member.
IDS_TEXTCLIENT_INC_000199	The party has been disbanded.
IDS_TEXTCLIENT_INC_000200	The party has been disbanded.
IDS_TEXTCLIENT_INC_000201	%s is currently in another party.
IDS_TEXTCLIENT_INC_000202	%s invites you to join a party.
IDS_TEXTCLIENT_INC_000203	%s has gained %s.
IDS_TEXTCLIENT_INC_000204	%s has received %s.
IDS_TEXTCLIENT_INC_000205	Item distribution was changed to %s.
IDS_TEXTCLIENT_INC_000206	Exp distribution was changed to %s.
IDS_TEXTCLIENT_INC_000207	A novice party has been reorganized as %s party.
IDS_TEXTCLIENT_INC_000208	%s party has been reorganized as a novice party.
IDS_TEXTCLIENT_INC_000209	You cannot attack a monster that is fighting against another player.
IDS_TEXTCLIENT_INC_000210	The %s belongs to another player at the moment. Please wait a while.
IDS_TEXTCLIENT_INC_000211	%s belongs to another party at the moment. Please wait a while.
IDS_TEXTCLIENT_INC_000212	You cannot equip a two-handed weapon while wearing a shield.
IDS_TEXTCLIENT_INC_000213	You cannot equip items that are still in the bank.
IDS_TEXTCLIENT_INC_000214	You cannot drop items that are still in the bank.
IDS_TEXTCLIENT_INC_000215	Bank has insufficient Penya.
IDS_TEXTCLIENT_INC_000216	Unable to trade. Target player is using the bank.
IDS_TEXTCLIENT_INC_000217	You cannot trade while using the bank.
IDS_TEXTCLIENT_INC_000218	You have been slain by %s.
IDS_TEXTCLIENT_INC_000219	You recovered your Karma points by %s.
IDS_TEXTCLIENT_INC_000220	%s Karma points have been reduced.
IDS_TEXTCLIENT_INC_000221	That player is already dueling.
IDS_TEXTCLIENT_INC_000222	You cannot fly while dueling.
IDS_TEXTCLIENT_INC_000223	Skill level of %s has increased to %d.
IDS_TEXTCLIENT_INC_000224	This action has been blocked by an obstacle..
IDS_TEXTCLIENT_INC_000225	Your trade with %s has been completed.
IDS_TEXTCLIENT_INC_000226	%s has completed the trade.
IDS_TEXTCLIENT_INC_000227	The trade has been cancelled.
IDS_TEXTCLIENT_INC_000228	You are already in a guild. Leave the guild first then try again.
IDS_TEXTCLIENT_INC_000229	Only the guild leader can disband the guild.
IDS_TEXTCLIENT_INC_000230	Cannot cancel because you do not belong to a guild.
IDS_TEXTCLIENT_INC_000231	Guild name is too long.
IDS_TEXTCLIENT_INC_000232	Guild name already exists.
IDS_TEXTCLIENT_INC_000233	%s has formed the guild '%s'.
IDS_TEXTCLIENT_INC_000234	%s has disbanded the %s guild.
IDS_TEXTCLIENT_INC_000235	That guild does not exist.
IDS_TEXTCLIENT_INC_000236	You are not authorized to recruit new guild members.
IDS_TEXTCLIENT_INC_000237	You are already in a guild.
IDS_TEXTCLIENT_INC_000238	The guild is full.
IDS_TEXTCLIENT_INC_000239	You have joined the %s guild.
IDS_TEXTCLIENT_INC_000240	%s has joined the guild.
IDS_TEXTCLIENT_INC_000241	You are not a guild member.
IDS_TEXTCLIENT_INC_000242	%s is not a member of the guild.
IDS_TEXTCLIENT_INC_000243	Only Guild Masters can kick guild members out.
IDS_TEXTCLIENT_INC_000244	Guild masters cannot leave the guild.
IDS_TEXTCLIENT_INC_000245	%s has left the guild.
IDS_TEXTCLIENT_INC_000246	You are no longer a member of the %s guild.
IDS_TEXTCLIENT_INC_000247	%s is already in a guild.
IDS_TEXTCLIENT_INC_000248	You invited %s to your guild.
IDS_TEXTCLIENT_INC_000249	You are not authorized to recruit new guild members.
IDS_TEXTCLIENT_INC_000250	%s has declined your invitation.
IDS_TEXTCLIENT_INC_000251	Please wait for a moment.
IDS_TEXTCLIENT_INC_000252	You are still using the %s party skill. Try again later.
IDS_TEXTCLIENT_INC_000253	The party skill %s has been used.
IDS_TEXTCLIENT_INC_000254	The effect of %s is about to end.
IDS_TEXTCLIENT_INC_000255	Player
IDS_TEXTCLIENT_INC_000256	Party
IDS_TEXTCLIENT_INC_000257	NPC
IDS_TEXTCLIENT_INC_000258	Monster
IDS_TEXTCLIENT_INC_000259	You cannot trade while dueling.
IDS_TEXTCLIENT_INC_000260	You cannot add someone to your friends list while dueling.
IDS_TEXTCLIENT_INC_000261	Online
IDS_TEXTCLIENT_INC_000262	Offline
IDS_TEXTCLIENT_INC_000263	Block
IDS_TEXTCLIENT_INC_000264	AFK
IDS_TEXTCLIENT_INC_000265	Addict Mode
IDS_TEXTCLIENT_INC_000266	Resting / Vending
IDS_TEXTCLIENT_INC_000267	Eating
IDS_TEXTCLIENT_INC_000268	Moving
IDS_TEXTCLIENT_INC_000269	Move
IDS_TEXTCLIENT_INC_000270	Delete
IDS_TEXTCLIENT_INC_000271	Death
IDS_TEXTCLIENT_INC_000272	Threaten
IDS_TEXTCLIENT_INC_000273	Unblock
IDS_TEXTCLIENT_INC_000274	Dialog
IDS_TEXTCLIENT_INC_000275	Quest
IDS_TEXTCLIENT_INC_000276	Trade
IDS_TEXTCLIENT_INC_000277	Duel
IDS_TEXTCLIENT_INC_000278	Message
IDS_TEXTCLIENT_INC_000279	Add to my list
IDS_TEXTCLIENT_INC_000280	Invite to join party
IDS_TEXTCLIENT_INC_000281	Invite to join guild
IDS_TEXTCLIENT_INC_000282	Mailbox
IDS_TEXTCLIENT_INC_000283	Cheer
IDS_TEXTCLIENT_INC_000284	Apply
IDS_TEXTCLIENT_INC_000285	Status
IDS_TEXTCLIENT_INC_000286	Cancel
IDS_TEXTCLIENT_INC_000287	Join
IDS_TEXTCLIENT_INC_000288	Ranking
IDS_TEXTCLIENT_INC_000289	Place of Resurrection
IDS_TEXTCLIENT_INC_000290	Deposit
IDS_TEXTCLIENT_INC_000291	Duel
IDS_TEXTCLIENT_INC_000292	Request Party Duel
IDS_TEXTCLIENT_INC_000293	Follow
IDS_TEXTCLIENT_INC_000294	Beauty Shop
IDS_TEXTCLIENT_INC_000295	Guild Warehouse
IDS_TEXTCLIENT_INC_000296	Guild Ranking
IDS_TEXTCLIENT_INC_000297	Guild Duel ranking
IDS_TEXTCLIENT_INC_000298	Overall guild ranking
IDS_TEXTCLIENT_INC_000299	Upgrade
IDS_TEXTCLIENT_INC_000300	View equipment
IDS_TEXTCLIENT_INC_000301	The maximum party limit of 8 players has already been reached. 
IDS_TEXTCLIENT_INC_000302	The maximum party limit of 8 players has already been reached. 
IDS_TEXTCLIENT_INC_000303	The maximum party limit of 8 players has already been reached. 
IDS_TEXTCLIENT_INC_000304	Party does not exist.
IDS_TEXTCLIENT_INC_000305	Player cannot join the party.
IDS_TEXTCLIENT_INC_000306	That Party Name is already being used. Please try again.
IDS_TEXTCLIENT_INC_000307	Insufficient party points.
IDS_TEXTCLIENT_INC_000308	Skill not yet learned.
IDS_TEXTCLIENT_INC_000309	Cannot attack, no monster targeted.
IDS_TEXTCLIENT_INC_000310	Party has been created.
IDS_TEXTCLIENT_INC_000311	%s has joined the party.
IDS_TEXTCLIENT_INC_000312	%s has joined the party.
IDS_TEXTCLIENT_INC_000313	%s has left the party.
IDS_TEXTCLIENT_INC_000314	You have left the party.
IDS_TEXTCLIENT_INC_000315	Party has been disbanded.
IDS_TEXTCLIENT_INC_000316	Duel with %s started!
IDS_TEXTCLIENT_INC_000317	%s refused to duel.
IDS_TEXTCLIENT_INC_000318	The duel has been cancelled.
IDS_TEXTCLIENT_INC_000319	Party level increased.
IDS_TEXTCLIENT_INC_000320	Unable to move while vending.
IDS_TEXTCLIENT_INC_000321	Player is not in your party.
IDS_TEXTCLIENT_INC_000322	Player is already in your party.
IDS_TEXTCLIENT_INC_000323	Player is not the party leader.
IDS_TEXTCLIENT_INC_000324	You cannot attack a player in the safe zone.
IDS_TEXTCLIENT_INC_000325	You cannot attack in the safe zone.
IDS_TEXTCLIENT_INC_000326	PVP is only available to players above level 15.
IDS_TEXTCLIENT_INC_000327	Player level is too low.
IDS_TEXTCLIENT_INC_000328	%s gained some fame points.
IDS_TEXTCLIENT_INC_000329	%s lost some fame points.
IDS_TEXTCLIENT_INC_000330	Your inventory is full.
IDS_TEXTCLIENT_INC_000331	Only the party leader can invite new members.
IDS_TEXTCLIENT_INC_000332	Party name has been changed to %s.
IDS_TEXTCLIENT_INC_000333	The party has been changed to an Advanced Party.
IDS_TEXTCLIENT_INC_000334	Invitation has been refused.
IDS_TEXTCLIENT_INC_000335	You cannot drop items at this time.
IDS_TEXTCLIENT_INC_000336	That player is not connected.
IDS_TEXTCLIENT_INC_000337	[World CCU] %d
IDS_TEXTCLIENT_INC_000338	%s
IDS_TEXTCLIENT_INC_000339	Undying1
IDS_TEXTCLIENT_INC_000340	Undying2
IDS_TEXTCLIENT_INC_000341	Invisible
IDS_TEXTCLIENT_INC_000342	OneKill
IDS_TEXTCLIENT_INC_000343	Silence player
IDS_TEXTCLIENT_INC_000344	Freeze player
IDS_TEXTCLIENT_INC_000345	Status
IDS_TEXTCLIENT_INC_000346	Normal
IDS_TEXTCLIENT_INC_000347	Item does not exist.
IDS_TEXTCLIENT_INC_000348	You cannot send a PM to yourself, silly.
IDS_TEXTCLIENT_INC_000349	%s does not exist.
IDS_TEXTCLIENT_INC_000350	Unable to attack player in a safe zone.
IDS_TEXTCLIENT_INC_000351	Unable to attack in a safe zone.
IDS_TEXTCLIENT_INC_000352	PVP is only available with players above level 20.
IDS_TEXTCLIENT_INC_000353	Character level is too low.
IDS_TEXTCLIENT_INC_000354	Unable to attack a player engaged in a duel.
IDS_TEXTCLIENT_INC_000355	Unable to attack the same player for 10 min.
IDS_TEXTCLIENT_INC_000356	You have gained Experience.
IDS_TEXTCLIENT_INC_000357	Unable to enter the same sentence twice in a row.
IDS_TEXTCLIENT_INC_000358	Unable to use the party chat function.
IDS_TEXTCLIENT_INC_000359	/pc %s
IDS_TEXTCLIENT_INC_000360	Position : x = %f, y = %f, z = %f
IDS_TEXTCLIENT_INC_000361	Please unequip the item first.
IDS_TEXTCLIENT_INC_000362	[Help]
IDS_TEXTCLIENT_INC_000363	Please wait.
IDS_TEXTCLIENT_INC_000364	The current position was saved as Position.txt.
IDS_TEXTCLIENT_INC_000365	flyff%05d.bmp has been saved into the capture folder.
IDS_TEXTCLIENT_INC_000366	You have asked for permission to add %s to your messenger.
IDS_TEXTCLIENT_INC_000367	You are already using the bank.
IDS_TEXTCLIENT_INC_000368	You have offered to trade with %s.
IDS_TEXTCLIENT_INC_000369	You cannot trade items when using the bank.
IDS_TEXTCLIENT_INC_000370	You cannot use the bank while trading
IDS_TEXTCLIENT_INC_000371	Player is not in the duel zone.
IDS_TEXTCLIENT_INC_000372	You must issue challenges in the duel zone.
IDS_TEXTCLIENT_INC_000373	Unable to duel, character level is too low.
IDS_TEXTCLIENT_INC_000374	Player is already in a duel.
IDS_TEXTCLIENT_INC_000375	Failure to send message, %s is blocked.
IDS_TEXTCLIENT_INC_000376	Duel has started with %s party.
IDS_TEXTCLIENT_INC_000377	Duel has been cancelled.
IDS_TEXTCLIENT_INC_000378	You won the party duel.
IDS_TEXTCLIENT_INC_000379	You lost the party duel.
IDS_TEXTCLIENT_INC_000380	%s is in the 'Refuse to Whisper/Messenger' setting.
IDS_TEXTCLIENT_INC_000381	%s is in the 'Refuse Messenger' setting.
IDS_TEXTCLIENT_INC_000382	%s is in the 'Refuse Trade' setting.
IDS_TEXTCLIENT_INC_000383	You cannot use the beauty shop while trading.
IDS_TEXTCLIENT_INC_000384	You are using the beauty shop.
IDS_TEXTCLIENT_INC_000385	Position : x = %f, y = %f, z = %f
IDS_TEXTCLIENT_INC_000386	%s has refused to join the party.
IDS_TEXTCLIENT_INC_000387	%s already belongs to another party.
IDS_TEXTCLIENT_INC_000388	You have failed to join the party.
IDS_TEXTCLIENT_INC_000389	%s is currently not accepting Party Invitations
IDS_TEXTCLIENT_INC_000390	Cannot invite a player from a different server.
IDS_TEXTCLIENT_INC_000391	Area inaccessible.
IDS_TEXTCLIENT_INC_000392	Maximum distance reached.
IDS_TEXTCLIENT_INC_000393	You cannot attack a party member.
IDS_TEXTCLIENT_INC_000394	The permission of a parent or guardian is required for players under 13 years old.
IDS_TEXTCLIENT_INC_000395	In 'Refuse Trade' setting.
IDS_TEXTCLIENT_INC_000396	The trade has been cancelled.
IDS_TEXTCLIENT_INC_000397	Sharing of Experience is not applied yet.
IDS_TEXTCLIENT_INC_000398	User ID must be 3 to 16 characters long. It can be a combination of letters and numbers, however it cannot start with a number.
IDS_TEXTCLIENT_INC_000399	User ID already exists.
IDS_TEXTCLIENT_INC_000400	Unable to invite player. Either you are not the party leader, or the party is already full.
IDS_TEXTCLIENT_INC_000401	The settings can only be changed by the party leader or an advance party member.
IDS_TEXTCLIENT_INC_000402	Not enough Penya.
IDS_TEXTCLIENT_INC_000403	Resurrect at Lodelight.
IDS_TEXTCLIENT_INC_000404	Enter a name between 2 to 12 letters.
IDS_TEXTCLIENT_INC_000405	The name must be 6 to 18 characters long.
IDS_TEXTCLIENT_INC_000406	The name cannot start with a number.
IDS_TEXTCLIENT_INC_000407	You cannot use special characters or spaces in a name.
IDS_TEXTCLIENT_INC_000408	You cannot use special characters in a name.
IDS_TEXTCLIENT_INC_000409	This account is banned. Contact FlyFF Support for assistance.
IDS_TEXTCLIENT_INC_000410	Login details incorrect.  Please try again.
IDS_TEXTCLIENT_INC_000411	A bug has been detected! Please go to http://support.netgames.ph to report.
IDS_TEXTCLIENT_INC_000412	The slot is in use.
IDS_TEXTCLIENT_INC_000413	Unable to use skill.
IDS_TEXTCLIENT_INC_000414	Character name is not allowed.
IDS_TEXTCLIENT_INC_000415	The delete function will be added.
IDS_TEXTCLIENT_INC_000416	Your new password is different from the password you confirmed. Please try again.
IDS_TEXTCLIENT_INC_000417	Disconnected from the server.
IDS_TEXTCLIENT_INC_000418	An advanced party may use the ‘Scout Skill’ to look for new party members.
IDS_TEXTCLIENT_INC_000419	Password should have 4 digits. Please try again.
IDS_TEXTCLIENT_INC_000420	Account verification required. Please visit the Flyff website.
IDS_TEXTCLIENT_INC_000421	Feature unavailable.
IDS_TEXTCLIENT_INC_000422	Wrong password.  Please try again.
IDS_TEXTCLIENT_INC_000423	Your password must be 3 to 16 characters long. It can be any combination of letters and numbers.
IDS_TEXTCLIENT_INC_000424	Your password must be 3 to 16 characters long. It can be any combination of letters and numbers.
IDS_TEXTCLIENT_INC_000425	Enter name.
IDS_TEXTCLIENT_INC_000426	That ID is already in use.
IDS_TEXTCLIENT_INC_000427	That party name is already in use. Please choose another one.
IDS_TEXTCLIENT_INC_000428	That character name is already in use.
IDS_TEXTCLIENT_INC_000429	Authentication Error.  Please try to patch again.
IDS_TEXTCLIENT_INC_000430	Insufficient space in your inventory.
IDS_TEXTCLIENT_INC_000431	You can only change your job.
IDS_TEXTCLIENT_INC_000432	Login details incorrect.  Please try again.
IDS_TEXTCLIENT_INC_000433	Oops. Try again.
IDS_TEXTCLIENT_INC_000434	Disconnecting... Please wait.
IDS_TEXTCLIENT_INC_000435	Server capacity has been reached.
IDS_TEXTCLIENT_INC_000436	This account is already connected. Do you want to disconnect it?
IDS_TEXTCLIENT_INC_000437	Cannot connect to the game. Please check the network.
IDS_TEXTCLIENT_INC_000438	Please Re-enter SSN.
IDS_TEXTCLIENT_INC_000439	Will you quit the quest?
IDS_TEXTCLIENT_INC_000440	Cannot use skill. Insufficient party experience.
IDS_TEXTCLIENT_INC_000441	Only the party leader can use party skills
IDS_TEXTCLIENT_INC_000442	Not enough penya.
IDS_TEXTCLIENT_INC_000443	Cannot use skill. Insufficient party experience.
IDS_TEXTCLIENT_INC_000444	Sorry. Children below 12 years of age are not permitted to play FlyFF.
IDS_TEXTCLIENT_INC_000445	That player is already in your friends list.
IDS_TEXTCLIENT_INC_000446	Please choose a character.
IDS_TEXTCLIENT_INC_000447	Service currently unavailable. Please check flyff web site for details.
IDS_TEXTCLIENT_INC_000448	You cannot add into or remove items from the trading window anymore after the first confirmation.
IDS_TEXTCLIENT_INC_000449	Active Desktop button controller test
IDS_TEXTCLIENT_INC_000450	You cannot add yourself to your list.  Please choose another character.
IDS_TEXTCLIENT_INC_000451	That name is too long.  Please try again.
IDS_TEXTCLIENT_INC_000452	You must be 15 years old or older to play FlyFF.
IDS_TEXTCLIENT_INC_000453	%s is already in your messenger.
IDS_TEXTCLIENT_INC_000454	%s is not connected.
IDS_TEXTCLIENT_INC_000455	The player %s does not exist in the game.
IDS_TEXTCLIENT_INC_000456	Iblis
IDS_TEXTCLIENT_INC_000457	Shade
IDS_TEXTCLIENT_INC_000458	Bubble
IDS_TEXTCLIENT_INC_000459	Dwarpet
